adjusted_date,neutral,positive,negative
2015-01-02,0.3125,0.4375,0.25
2015-01-05,0.4444444444444444,0.2222222222222222,0.3333333333333333
2015-01-06,0.21428571428571427,0.5714285714285714,0.21428571428571427
2015-01-07,0.3076923076923077,0.15384615384615385,0.5384615384615384
2015-01-08,0.4,0.5333333333333333,0.06666666666666667
2015-01-09,0.2631578947368421,0.6842105263157895,0.05263157894736842
2015-01-12,0.35714285714285715,0.35714285714285715,0.2857142857142857
2015-01-13,0.09090909090909091,0.8181818181818182,0.09090909090909091
2015-01-14,0.391304347826087,0.43478260869565216,0.17391304347826086
2015-01-15,0.23809523809523808,0.42857142857142855,0.3333333333333333
2015-01-16,0.5,0.42857142857142855,0.07142857142857142
2015-01-19,0.29411764705882354,0.5294117647058824,0.17647058823529413
2015-01-20,0.3333333333333333,0.6,0.06666666666666667
2015-01-21,0.45454545454545453,0.45454545454545453,0.09090909090909091
2015-01-22,0.21428571428571427,0.5714285714285714,0.21428571428571427
2015-01-23,0.125,0.4375,0.4375
2015-01-26,0.16666666666666666,0.625,0.20833333333333334
2015-01-27,0.21052631578947367,0.5789473684210527,0.21052631578947367
2015-01-28,0.19047619047619047,0.6190476190476191,0.19047619047619047
2015-01-29,0.26666666666666666,0.5333333333333333,0.2
2015-01-30,0.3888888888888889,0.3333333333333333,0.2777777777777778
2015-02-02,0.38095238095238093,0.47619047619047616,0.14285714285714285
2015-02-03,0.4166666666666667,0.16666666666666666,0.4166666666666667
2015-02-04,0.5,0.5,0.0
2015-02-05,0.23076923076923078,0.6153846153846154,0.15384615384615385
2015-02-06,0.1111111111111111,0.6666666666666666,0.2222222222222222
2015-02-09,0.3125,0.53125,0.15625
2015-02-10,0.2,0.6,0.2
2015-02-11,0.46153846153846156,0.3076923076923077,0.23076923076923078
2015-02-12,0.2,0.3333333333333333,0.4666666666666667
2015-02-13,0.16666666666666666,0.5,0.3333333333333333
2015-02-16,0.23076923076923078,0.5,0.2692307692307692
2015-02-17,0.3333333333333333,0.5,0.16666666666666666
2015-02-23,0.3333333333333333,0.5757575757575758,0.09090909090909091
2015-02-24,0.10526315789473684,0.8421052631578947,0.05263157894736842
2015-02-25,0.20689655172413793,0.7586206896551724,0.034482758620689655
2015-02-26,0.3333333333333333,0.5714285714285714,0.09523809523809523
2015-02-27,0.4117647058823529,0.23529411764705882,0.35294117647058826
2015-03-02,0.4772727272727273,0.4090909090909091,0.11363636363636363
2015-03-03,0.3888888888888889,0.5,0.1111111111111111
2015-03-04,0.43478260869565216,0.4782608695652174,0.08695652173913043
2015-03-05,0.5294117647058824,0.4117647058823529,0.058823529411764705
2015-03-06,0.25,0.75,0.0
2015-03-09,0.30434782608695654,0.5217391304347826,0.17391304347826086
2015-03-10,0.25,0.3125,0.4375
2015-03-11,0.17391304347826086,0.5652173913043478,0.2608695652173913
2015-03-12,0.13333333333333333,0.4666666666666667,0.4
2015-03-13,0.15,0.7,0.15
2015-03-16,0.5294117647058824,0.23529411764705882,0.23529411764705882
2015-03-17,0.42857142857142855,0.35714285714285715,0.21428571428571427
2015-03-18,0.47368421052631576,0.42105263157894735,0.10526315789473684
2015-03-19,0.2857142857142857,0.5714285714285714,0.14285714285714285
2015-03-20,0.17647058823529413,0.5294117647058824,0.29411764705882354
2015-03-23,0.39285714285714285,0.5,0.10714285714285714
2015-03-24,0.21052631578947367,0.6842105263157895,0.10526315789473684
2015-03-25,0.5416666666666666,0.2916666666666667,0.16666666666666666
2015-03-26,0.3157894736842105,0.5263157894736842,0.15789473684210525
