,,,,,기관,외국인,외국인,외국인
날짜,종가,전일비,등락률,거래량,순매매량,순매매량,보유주수,보유율
2024.08.28,"76,400",600,0.79%,"9,671,798","533,263","-1,470,392","3,351,439,903",56.14%
2024.08.27,"75,800",-300,-0.39%,"11,130,145","304,677","-1,446,782","3,352,910,295",56.16%
2024.08.26,"76,100",-1600,-2.06%,"15,655,938","584,334","-3,737,763","3,354,085,777",56.18%
2024.08.23,"77,700",-600,-0.77%,"9,420,306","748,590","-1,392,121","3,357,636,890",56.24%
2024.08.22,"78,300",0,0.00%,"8,149,101","-452,139","310,180","3,358,830,711",56.26%
2024.08.21,"78,300",-600,-0.76%,"7,734,771","177,643","82,341","3,357,989,044",56.25%
2024.08.20,"78,900",600,0.77%,"10,683,836","-141,999","924,485","3,357,906,703",56.25%
2024.08.19,"78,300",-1900,-2.37%,"14,146,565","-339,031","-1,468,641","3,356,978,020",56.23%
2024.08.16,"80,200",3000,3.89%,"22,061,478","918,078","6,540,655","3,358,563,961",56.26%
2024.08.14,"77,200",1100,1.45%,"13,246,168","-230,603","2,054,899","3,352,025,208",56.15%
2024.08.13,"76,100",600,0.79%,"10,716,261","-202,595","1,857,644","3,349,911,209",56.11%
2024.08.12,"75,500",800,1.07%,"9,839,259","112,759","473,898","3,347,828,165",56.08%
2024.08.09,"74,700",1300,1.77%,"16,388,222","-21,816","556,506","3,347,500,307",56.07%
2024.08.08,"73,400",-1300,-1.74%,"28,414,729","-3,828,398","-3,296,483","3,346,950,301",56.06%
2024.08.07,"74,700",2200,3.03%,"32,710,428","-2,123,457","1,071,074","3,350,207,687",56.12%
2024.08.06,"72,500",1100,1.54%,"47,295,226","-7,018,788","-2,581,926","3,349,242,765",56.10%
2024.08.05,"71,400",-8200,-10.30%,"54,608,790","-2,439,089","-16,584,000","3,351,340,541",56.14%
2024.08.02,"79,600",-3500,-4.21%,"25,800,275","-3,138,554","-3,630,476","3,367,986,900",56.42%
2024.08.01,"83,100",-800,-0.95%,"20,900,338","-1,061,536","329,840","3,371,460,876",56.48%
2024.07.31,"83,900",2900,3.58%,"20,744,323","958,338","1,683,299","3,370,329,076",56.46%
2024.07.30,"81,000",-200,-0.25%,"13,169,636","-1,379,203","-318,329","3,368,633,203",56.43%
2024.07.29,"81,200",300,0.37%,"12,797,136","-554,806","52,996","3,368,959,775",56.43%
2024.07.26,"80,900",500,0.62%,"14,508,334","719,026","-1,793,928","3,368,888,879",56.43%
2024.07.25,"80,400",-1600,-1.95%,"20,323,811","-1,877,734","189,842","3,370,673,007",56.46%
2024.07.24,"82,000",-1900,-2.26%,"16,939,083","-492,483","-2,625,120","3,370,351,551",56.46%
2024.07.23,"83,900",900,1.08%,"15,766,389","-1,694,295","2,466,383","3,372,806,771",56.50%
2024.07.22,"83,000",-1400,-1.66%,"18,987,560","-242,867","-375,164","3,370,335,790",56.46%
2024.07.19,"84,400",-2500,-2.88%,"18,569,122","-1,750,534","-2,940,842","3,370,705,576",56.46%
2024.07.18,"86,900",200,0.23%,"24,721,790","1,853,095","-924,810","3,373,402,418",56.51%
2024.07.17,"86,700",-1000,-1.14%,"18,186,490","-306,635","409,230","3,374,439,793",56.53%
2024.07.16,"87,700",1000,1.15%,"16,166,688","645,166","2,036,914","3,373,985,539",56.52%
2024.07.15,"86,700",2300,2.73%,"25,193,080","4,178,194","-720,308","3,371,438,352",56.48%
2024.07.12,"84,400",-3200,-3.65%,"26,344,386","154,761","-3,640,216","3,372,206,489",56.49%
2024.07.11,"87,600",-200,-0.23%,"24,677,608","-1,171,760","2,337,048","3,375,759,305",56.55%
2024.07.10,"87,800",0,0.00%,"17,813,847","-1,447,489","3,475,799","3,373,424,267",56.51%
2024.07.09,"87,800",400,0.46%,"21,336,201","-3,751","3,775,043","3,369,964,762",56.45%
2024.07.08,"87,400",300,0.34%,"24,035,809","-1,128,290","3,910,224","3,366,066,887",56.39%
2024.07.05,"87,100",2500,2.96%,"45,791,193","6,809,451","13,730,052","3,362,156,754",56.32%
2024.07.04,"84,600",2800,3.42%,"43,857,229","6,993,695","7,941,412","3,348,156,758",56.09%
2024.07.03,"81,800",0,0.00%,"11,440,328","366,480","-44,152","3,339,415,820",55.94%
2024.07.02,"81,800",0,0.00%,"14,471,904","-1,172,626","2,179,019","3,339,441,604",55.94%
2024.07.01,"81,800",300,0.37%,"11,317,202","442,996","1,026,322","3,336,890,385",55.90%
2024.06.28,"81,500",-100,-0.12%,"9,455,929","207,314","-965,053","3,335,943,684",55.88%
2024.06.27,"81,600",300,0.37%,"11,739,720","-3,472,885","4,855,358","3,336,873,737",55.90%
2024.06.26,"81,300",500,0.62%,"17,783,242","-793,488","1,306,886","3,332,957,432",55.83%
2024.06.25,"80,800",200,0.25%,"19,088,458","-476,258","2,826,498","3,331,638,548",55.81%
2024.06.24,"80,600",600,0.75%,"15,454,227","281,038","272,035","3,329,628,495",55.77%
2024.06.21,"80,000",-1600,-1.96%,"17,907,523","-392,128","-1,551,706","3,329,259,128",55.77%
2024.06.20,"81,600",400,0.49%,"20,288,913","1,958,303","4,035,075","3,331,019,004",55.80%
2024.06.19,"81,200",1400,1.75%,"24,168,863","3,843,571","2,984,670","3,327,183,304",55.73%
2024.06.18,"79,800",1700,2.18%,"18,207,598","401,243","5,599,290","3,324,149,834",55.68%
2024.06.17,"78,100",-1500,-1.88%,"16,123,051","-947,913","-540,863","3,318,542,747",55.59%
2024.06.14,"79,600",1000,1.27%,"22,926,612","-1,159,458","6,641,964","3,319,087,853",55.60%
2024.06.13,"78,600",2100,2.75%,"33,763,804","-350,325","12,050,709","3,313,137,289",55.50%
2024.06.12,"76,500",1300,1.73%,"19,246,725","-75,724","-431,060","3,300,778,905",55.29%
2024.06.11,"75,200",-500,-0.66%,"16,971,175","-732,641","-2,386,907","3,301,380,965",55.30%
2024.06.10,"75,700",-1600,-2.07%,"14,598,755","-2,315,098","-1,917,482","3,303,737,099",55.34%
2024.06.07,"77,300",-100,-0.13%,"21,189,349","1,239,125","-2,421,499","3,305,521,881",55.37%
2024.06.05,"77,400",2100,2.79%,"23,177,968","-2,880,380","5,150,004","3,307,911,070",55.41%
2024.06.04,"75,300",-400,-0.53%,"14,098,053","-357,735","-370,961","3,302,813,689",55.33%
2024.06.03,"75,700",2200,2.99%,"15,706,268","821,390","1,813,616","3,303,367,414",55.33%
2024.05.31,"73,500",0,0.00%,"26,198,776","3,314,003","-6,136,500","3,301,789,603",55.31%
2024.05.30,"73,500",-1700,-2.26%,"28,551,273","-2,157,062","-6,675,221","3,307,925,503",55.41%
2024.05.29,"75,200",-2400,-3.09%,"30,244,875","536,510","-5,674,271","3,314,347,349",55.52%
2024.05.28,"77,600",400,0.52%,"18,539,072","2,488,613","-848,673","3,320,328,470",55.62%
2024.05.27,"77,200",1300,1.71%,"43,825,202","3,337,368","-9,525,410","3,320,912,893",55.63%
2024.05.24,"75,900",-2400,-3.07%,"27,891,278","-3,921,932","-7,431,941","3,330,610,203",55.79%
2024.05.23,"78,300",600,0.77%,"18,728,087","-1,025,723","1,442,018","3,338,526,535",55.92%
2024.05.22,"77,700",-700,-0.89%,"19,521,506","72,246","-1,463,340","3,336,827,317",55.90%
2024.05.21,"78,400",-500,-0.63%,"13,690,583","-1,990,989","1,276,060","3,338,290,387",55.92%
2024.05.20,"78,900",1500,1.94%,"19,456,783","2,591,622","178,659","3,337,007,864",55.90%
2024.05.17,"77,400",-800,-1.02%,"15,918,201","-90,450","-3,390,376","3,336,869,295",55.90%
2024.05.16,"78,200",-100,-0.13%,"20,989,778","1,856,645","-3,786,158","3,340,491,521",55.96%
2024.05.14,"78,300",-100,-0.13%,"11,763,992","64,598","-393,521","3,343,218,479",56.00%
2024.05.13,"78,400",-800,-1.01%,"18,652,344","-1,674,382","-960,230","3,343,603,700",56.01%
2024.05.10,"79,200",-500,-0.63%,"16,976,124","-2,037,692","618,165","3,344,224,130",56.02%
2024.05.09,"79,700",-1600,-1.97%,"18,759,935","24,866","-1,232,345","3,343,416,665",56.01%
2024.05.08,"81,300",0,0.00%,"13,089,576","-378,728","1,509,697","3,344,540,366",56.02%
2024.05.07,"81,300",3700,4.77%,"26,238,868","3,127,233","7,386,710","3,342,925,369",56.00%
2024.05.03,"77,600",-400,-0.51%,"13,151,889","-78,198","-190,785","3,335,616,460",55.88%
2024.05.02,"78,000",500,0.65%,"18,900,640","103,784","507,719","3,335,736,645",55.88%
2024.04.30,"77,500",800,1.04%,"19,007,007","1,174,209","588,874","3,335,030,126",55.87%
2024.04.29,"76,700",0,0.00%,"14,664,474","-353,897","-1,544,586","3,333,879,552",55.85%
2024.04.26,"76,700",400,0.52%,"12,755,629","-346,355","-285,308","3,335,508,538",55.87%
2024.04.25,"76,300",-2300,-2.93%,"15,549,134","-2,538,926","-1,087,969","3,334,761,646",55.86%
2024.04.24,"78,600",3100,4.11%,"22,166,150","780,960","2,663,786","3,335,397,702",55.87%
2024.04.23,"75,500",-600,-0.79%,"18,717,699","110,010","-3,161,360","3,331,952,316",55.81%
2024.04.22,"76,100",-1500,-1.93%,"30,469,477","2,924,151","-8,461,601","3,335,066,376",55.87%
2024.04.19,"77,600",-2000,-2.51%,"31,317,563","-4,327,672","-100,741","3,342,542,617",55.99%
2024.04.18,"79,600",700,0.89%,"21,370,190","-674,930","959,766","3,342,291,051",55.99%
2024.04.17,"78,900",-1100,-1.38%,"22,611,631","-209,423","-1,824,900","3,341,283,459",55.97%
2024.04.16,"80,000",-2200,-2.68%,"31,949,845","-1,546,037","1,342,902","3,341,723,004",55.98%
2024.04.15,"82,200",-1500,-1.79%,"26,663,772","-943,327","-880,322","3,340,208,681",55.95%
2024.04.12,"83,700",-400,-0.48%,"17,061,770","-2,008,431","763,979","3,340,406,197",55.96%
2024.04.11,"84,100",500,0.60%,"25,538,009","-5,831,471","6,726,071","3,338,622,378",55.93%
2024.04.09,"83,600",-900,-1.07%,"23,725,956","-5,269,292","5,043,591","3,331,884,907",55.81%
2024.04.08,"84,500",0,0.00%,"18,953,232","-1,498,236","2,336,844","3,326,888,678",55.73%
2024.04.05,"84,500",-800,-0.94%,"18,883,752","-1,827,166","896,397","3,324,896,946",55.70%
2024.04.04,"85,300",1200,1.43%,"25,248,934","738,445","4,334,338","3,323,816,810",55.68%
2024.04.03,"84,100",-900,-1.06%,"30,493,347","-3,194,490","2,497,329","3,319,685,482",55.61%
2024.04.02,"85,000",3000,3.66%,"37,077,944","-301,604","11,877,127","3,317,133,082",55.57%
2024.04.01,"82,000",-400,-0.49%,"20,116,513","-117,544","1,166,819","3,303,302,330",55.33%
2024.03.29,"82,400",1600,1.98%,"27,126,366","411,942","7,816,633","3,302,158,601",55.31%
2024.03.28,"80,800",1000,1.25%,"25,084,812","1,282,012","4,999,502","3,294,357,985",55.18%
2024.03.27,"79,800",-100,-0.13%,"17,424,595","1,630,951","121,034","3,289,374,013",55.10%
2024.03.26,"79,900",1700,2.17%,"30,551,494","2,485,847","5,958,057","3,287,261,050",55.07%
2024.03.25,"78,200",-700,-0.89%,"18,703,996","-1,116,448","1,015,508","3,280,220,893",54.95%
2024.03.22,"78,900",-400,-0.50%,"26,724,761","-388,361","4,429,995","3,279,049,385",54.93%
2024.03.21,"79,300",2400,3.12%,"44,569,799","6,329,108","13,502,768","3,274,312,924",54.85%
2024.03.20,"76,900",4100,5.63%,"50,106,297","8,519,333","12,068,607","3,260,852,931",54.62%
2024.03.19,"72,800",0,0.00%,"15,376,066","-2,900,837","534,346","3,247,583,963",54.40%
2024.03.18,"72,800",500,0.69%,"11,520,348","-233,229","-804,456","3,247,041,589",54.39%
2024.03.15,"72,300",-2000,-2.69%,"22,580,555","53,840","-6,987,486","3,247,397,623",54.40%
2024.03.14,"74,300",200,0.27%,"22,545,539","1,688,634","133,248","3,254,505,341",54.52%
2024.03.13,"74,100",800,1.09%,"15,243,134","930,910","3,311,618","3,254,356,476",54.51%
2024.03.12,"73,300",900,1.24%,"13,011,654","2,950,142","-2,414,262","3,250,933,558",54.46%
2024.03.11,"72,400",-900,-1.23%,"9,740,504","-469,163","-1,684,874","3,253,268,556",54.50%
2024.03.08,"73,300",1100,1.52%,"19,271,349","3,346,510","-1,584,036","3,253,897,130",54.51%
2024.03.07,"72,200",-700,-0.96%,"14,516,963","86,490","-4,314,162","3,255,627,366",54.54%
2024.03.06,"72,900",-800,-1.09%,"21,547,905","-683,981","-3,191,375","3,259,895,128",54.61%
2024.03.05,"73,700",-1200,-1.60%,"19,505,125","-1,353,446","305,688","3,262,811,583",54.66%
2024.03.04,"74,900",1500,2.04%,"23,210,474","714,522","3,230,294","3,262,923,845",54.66%
2024.02.29,"73,400",200,0.27%,"21,176,403","-2,429,652","1,279,970","3,257,671,192",54.57%
2024.02.28,"73,200",300,0.41%,"11,795,859","326,503","236,714","3,256,288,522",54.55%
2024.02.27,"72,900",100,0.14%,"13,201,981","-686,619","450,211","3,254,915,101",54.52%
2024.02.26,"72,800",-100,-0.14%,"14,669,352","-36,577","836,430","3,253,530,890",54.50%
2024.02.23,"72,900",-200,-0.27%,"16,225,166","1,333,835","-1,447,139","3,252,419,560",54.48%
2024.02.22,"73,100",100,0.14%,"15,208,934","147,151","-2,138,568","3,252,932,252",54.49%
2024.02.21,"73,000",-300,-0.41%,"11,503,495","-44,080","-782,025","3,255,044,913",54.53%
2024.02.20,"73,300",-500,-0.68%,"14,681,477","-1,260,421","293,174","3,255,953,831",54.54%
2024.02.19,"73,800",1000,1.37%,"12,726,404","569,033","1,876,503","3,255,710,650",54.54%
2024.02.16,"72,800",-200,-0.27%,"13,444,781","-794,743","-340,330","3,254,232,697",54.51%
2024.02.15,"73,000",-1000,-1.35%,"14,120,600","-2,057,378","-1,691,099","3,251,598,760",54.47%
2024.02.14,"74,000",-1200,-1.60%,"12,434,945","-2,442,582","-1,697,879","3,253,273,559",54.50%
2024.02.13,"75,200",1100,1.48%,"21,966,745","2,632,864","1,100,157","3,254,918,438",54.52%
2024.02.08,"74,100",-900,-1.20%,"20,810,708","1,270,497","-4,914,240","3,255,414,894",54.53%
2024.02.07,"75,000",600,0.81%,"16,566,445","1,528,365","749,277","3,260,547,134",54.62%
2024.02.06,"74,400",100,0.13%,"14,559,254","-492,974","321,981","3,259,838,967",54.61%
2024.02.05,"74,300",-900,-1.20%,"19,026,021","-4,943,504","1,932,747","3,258,554,786",54.58%
2024.02.02,"75,200",1600,2.17%,"14,955,881","1,992,933","1,881,037","3,256,660,687",54.55%
2024.02.01,"73,600",900,1.24%,"19,881,033","-4,377,851","5,116,979","3,254,128,890",54.51%
2024.01.31,"72,700",-1600,-2.15%,"15,703,560","-1,277,156","-1,328,935","3,249,011,661",54.42%
2024.01.30,"74,300",-100,-0.13%,"12,244,418","14,472","-632,974","3,249,098,096",54.43%
2024.01.29,"74,400",1000,1.36%,"13,976,521","-417,687","2,945,013","3,249,586,319",54.43%
2024.01.26,"73,400",-700,-0.94%,"11,160,062","-789,926","814,723","3,246,706,430",54.39%
2024.01.25,"74,100",100,0.14%,"11,737,747","-89,590","824,042","3,244,769,003",54.35%
2024.01.24,"74,000",-1200,-1.60%,"12,860,661","-926,539","-177,586","3,243,836,592",54.34%
2024.01.23,"75,200",100,0.13%,"14,786,224","-133,492","1,254,871","3,244,037,878",54.34%
2024.01.22,"75,100",400,0.54%,"19,673,375","-163,819","1,818,202","3,242,282,064",54.31%
2024.01.19,"74,700",3000,4.18%,"23,363,427","-509,888","6,476,571","3,240,652,698",54.28%
2024.01.18,"71,700",700,0.99%,"17,853,397","59,931","-871,336","3,234,307,727",54.18%
2024.01.17,"71,000",-1600,-2.20%,"22,683,660","-525,968","-3,613,976","3,234,530,160",54.18%
2024.01.16,"72,600",-1300,-1.76%,"14,760,415","-1,516,685","-753,200","3,237,946,916",54.24%
2024.01.15,"73,900",800,1.09%,"13,212,339","270,342","810,802","3,238,790,740",54.25%
2024.01.12,"73,100",-100,-0.14%,"13,038,939","-753,303","-413,281","3,237,615,311",54.23%
2024.01.11,"73,200",-400,-0.54%,"57,691,266","-31,256,766","23,195,460","3,249,957,851",54.44%
2024.01.10,"73,600",-1100,-1.47%,"20,259,529","-1,023,455","-1,351,748","3,223,898,818",54.00%
2024.01.09,"74,700",-1800,-2.35%,"26,019,249","-1,252,350","-1,321,409","3,225,708,351",54.03%
2024.01.08,"76,500",-100,-0.13%,"11,088,724","-1,383,150","606,779","3,228,129,108",54.07%
2024.01.05,"76,600",0,0.00%,"11,304,316","-1,051,550","-565,936","3,227,240,598",54.06%
2024.01.04,"76,600",-400,-0.52%,"15,324,439","-2,491,314","636,874","3,226,492,587",54.05%
2024.01.03,"77,000",-2600,-3.27%,"21,753,644","-3,892,083","381,252","3,226,258,201",54.04%
2024.01.02,"79,600",1100,1.40%,"17,142,847","564,768","2,321,610","3,226,582,965",54.05%
2023.12.28,"78,500",500,0.64%,"17,797,536","2,849,040","1,103,850","3,223,504,696",54.00%
2023.12.27,"78,000",1400,1.83%,"20,651,042","-1,105,606","4,146,229","3,223,296,720",53.99%
2023.12.26,"76,600",700,0.92%,"13,164,909","3,964,738","488,574","3,218,439,877",53.91%
2023.12.22,"75,900",900,1.20%,"14,515,608","2,447,623","1,978,056","3,219,187,335",53.92%
2023.12.21,"75,000",200,0.27%,"13,478,766","1,004,505","2,682,982","3,218,007,431",53.90%
2023.12.20,"74,800",1400,1.91%,"16,870,156","4,993,461","2,012,824","3,215,447,082",53.86%
2023.12.19,"73,400",500,0.69%,"8,907,632","1,207,436","-516,672","3,213,791,579",53.83%
2023.12.18,"72,900",-400,-0.55%,"9,690,551","-1,125,689","166,645","3,212,936,246",53.82%
2023.12.15,"73,300",200,0.27%,"15,419,815","599,761","1,423,378","3,212,994,240",53.82%
2023.12.14,"73,100",300,0.41%,"27,567,593","-579,888","2,741,415","3,211,917,658",53.80%
2023.12.13,"72,800",-700,-0.95%,"13,116,766","974,940","-607,248","3,206,589,733",53.71%
2023.12.12,"73,500",500,0.68%,"13,758,646","3,444,994","212,214","3,205,293,884",53.69%
2023.12.11,"73,000",400,0.55%,"9,861,960","487,514","1,343,977","3,205,553,159",53.70%
2023.12.08,"72,600",1100,1.54%,"10,859,463","2,199,751","1,405,748","3,201,813,276",53.63%
2023.12.07,"71,500",-200,-0.28%,"8,862,017","-1,451,883","1,513,559","3,202,431,552",53.64%
2023.12.06,"71,700",500,0.70%,"8,123,087","587,187","564,088","3,200,188,775",53.61%
2023.12.05,"71,200",-1400,-1.93%,"12,129,682","-1,058,878","-952,646","3,199,477,897",53.59%
2023.12.04,"72,600",600,0.83%,"10,229,267","396,482","1,528,779","3,200,393,087",53.61%
2023.12.01,"72,000",-800,-1.10%,"9,871,284","-892,585","-227,824","3,198,766,066",53.58%
2023.11.30,"72,800",100,0.14%,"15,783,714","1,222,820","-871,951","3,198,780,238",53.58%
2023.11.29,"72,700",0,0.00%,"9,283,933","-1,566,656","2,296,099","3,199,460,880",53.59%
2023.11.28,"72,700",1400,1.96%,"13,283,081","1,895,066","559,667","3,196,633,759",53.55%
2023.11.27,"71,300",-400,-0.56%,"9,113,857","861,246","-1,174,062","3,196,030,392",53.54%
2023.11.24,"71,700",-700,-0.97%,"6,676,685","157,051","-547,077","3,197,068,350",53.55%
2023.11.23,"72,400",-400,-0.55%,"6,775,614","-649,677","377,567","3,196,826,286",53.55%
2023.11.22,"72,800",0,0.00%,"11,105,143","-1,602,111","2,239,913","3,196,356,503",53.54%
2023.11.21,"72,800",100,0.14%,"9,712,881","231,620","1,100,918","3,193,542,766",53.50%
2023.11.20,"72,700",200,0.28%,"10,610,157","1,684,072","520,834","3,192,272,398",53.47%
2023.11.17,"72,500",-300,-0.41%,"11,494,644","-508,830","2,703,620","3,191,428,264",53.46%
2023.11.16,"72,800",600,0.83%,"15,860,451","-268,617","4,899,326","3,188,833,172",53.42%
2023.11.15,"72,200",1400,1.98%,"20,148,677","5,189,485","4,605,687","3,183,411,370",53.33%
2023.11.14,"70,800",400,0.57%,"9,567,984","2,738,974","-436,839","3,178,196,288",53.24%
2023.11.13,"70,400",-100,-0.14%,"9,246,919","1,031,726","328,212","3,176,964,207",53.22%
2023.11.10,"70,500",200,0.28%,"9,684,347","43,049","596,596","3,176,531,146",53.21%
2023.11.09,"70,300",400,0.57%,"12,301,373","-153,416","2,174,341","3,176,252,380",53.21%
2023.11.08,"69,900",-1000,-1.41%,"12,901,310","115,384","-126,312","3,173,259,510",53.16%
2023.11.07,"70,900",0,0.00%,"17,228,731","-1,397,392","4,133,632","3,173,791,175",53.16%
2023.11.06,"70,900",1300,1.87%,"22,228,489","1,401,147","496,372","3,170,450,735",53.11%
2023.11.03,"69,600",-100,-0.14%,"10,322,234","14,881","1,253,864","3,171,453,263",53.13%
2023.11.02,"69,700",1100,1.60%,"16,350,031","213,313","2,826,930","3,170,585,305",53.11%
2023.11.01,"68,600",1700,2.54%,"13,775,256","2,208,177","60,075","3,167,729,055",53.06%
2023.10.31,"66,900",-400,-0.59%,"14,488,892","56,618","-373,257","3,168,275,048",53.07%
2023.10.30,"67,300",0,0.00%,"10,139,270","646,493","-433,766","3,168,605,691",53.08%
2023.10.27,"67,300",600,0.90%,"11,334,726","809,250","-933,840","3,167,314,330",53.06%
2023.10.26,"66,700",-1300,-1.91%,"15,517,624","-79,861","-1,368,054","3,167,890,199",53.07%
2023.10.25,"68,000",-500,-0.73%,"10,610,703","61,338","-499,400","3,168,782,735",53.08%
2023.10.24,"68,500",100,0.15%,"12,791,710","-274,521","-420,449","3,169,112,335",53.09%
2023.10.23,"68,400",-400,-0.58%,"11,625,959","782,320","-1,311,340","3,169,588,756",53.09%
2023.10.20,"68,800",-700,-1.01%,"15,204,495","-851,324","662,348","3,170,851,796",53.12%
2023.10.19,"69,500",-1000,-1.42%,"13,985,012","-707,480","829,947","3,170,439,966",53.11%
2023.10.18,"70,500",1100,1.59%,"16,493,184","4,272","4,920,749","3,169,324,703",53.09%
2023.10.17,"69,400",2100,3.12%,"17,299,253","-1,343,955","4,726,550","3,164,867,543",53.01%
2023.10.16,"67,300",-700,-1.03%,"12,599,299","43,298","-1,136,106","3,161,277,493",52.95%
2023.10.13,"68,000",-900,-1.31%,"9,724,086","-34,109","-748,171","3,162,554,699",52.98%
2023.10.12,"68,900",700,1.03%,"19,311,380","750,237","-393,700","3,163,339,470",52.99%
2023.10.11,"68,200",1800,2.71%,"25,209,349","3,000,020","438,079","3,163,462,870",52.99%
2023.10.10,"66,400",400,0.61%,"19,889,202","3,603,726","-3,409,660","3,163,092,893",52.99%
2023.10.06,"66,000",-700,-1.05%,"14,386,527","842,829","-4,255,470","3,167,117,761",53.05%
2023.10.05,"66,700",-800,-1.19%,"16,108,313","368,821","-3,460,947","3,171,902,875",53.13%
2023.10.04,"67,500",-900,-1.32%,"23,361,149","-1,273,253","-1,852,188","3,174,266,968",53.17%
2023.09.27,"68,400",-200,-0.29%,"14,886,491","-1,219,925","822,406","3,176,041,156",53.20%
2023.09.26,"68,600",-800,-1.15%,"13,143,470","-2,653,012","387,062","3,175,445,770",53.19%
2023.09.25,"69,400",600,0.87%,"13,582,516","-138,686","445,358","3,174,803,353",53.18%
2023.09.22,"68,800",-100,-0.15%,"9,897,840","-863,291","-121,617","3,174,817,159",53.18%
2023.09.21,"68,900",-700,-1.01%,"10,796,336","-3,434,692","2,185,564","3,175,373,256",53.19%
2023.09.20,"69,600",-200,-0.29%,"10,873,015","-518,013","-475,522","3,174,187,672",53.17%
2023.09.19,"69,800",-400,-0.57%,"11,820,188","-2,626,578","635,037","3,174,571,693",53.18%
2023.09.18,"70,200",-1800,-2.50%,"16,040,727","-710,561","-1,583,236","3,173,929,093",53.17%
2023.09.15,"72,000",300,0.42%,"17,823,512","5,039,137","-933,762","3,174,734,386",53.18%
2023.09.14,"71,700",800,1.13%,"21,041,407","7,910,222","-4,808,820","3,176,502,649",53.21%
2023.09.13,"70,900",400,0.57%,"15,955,797","1,310,414","95,426","3,181,197,147",53.29%
2023.09.12,"70,500",-300,-0.42%,"11,688,599","418,131","-105,409","3,181,024,140",53.29%
2023.09.11,"70,800",500,0.71%,"11,785,462","442,245","738,921","3,180,729,059",53.28%
2023.09.08,"70,300",-100,-0.14%,"10,688,118","-126,529","-11,097","3,180,020,188",53.27%
2023.09.07,"70,400",400,0.57%,"13,741,241","-552,642","1,316,171","3,179,534,325",53.26%
2023.09.06,"70,000",-700,-0.99%,"11,414,620","-845,782","895,046","3,178,184,714",53.24%
2023.09.05,"70,700",-500,-0.70%,"12,330,239","-1,050,231","1,724,475","3,177,442,968",53.23%
2023.09.04,"71,200",200,0.28%,"26,286,495","-939,928","3,395,921","3,175,663,093",53.20%
2023.09.01,"71,000",4100,6.13%,"29,738,235","2,018,992","7,961,612","3,172,443,214",53.14%
2023.08.31,"66,900",-200,-0.30%,"15,964,630","1,120,554","-1,843,999","3,164,484,602",53.01%
2023.08.30,"67,100",300,0.45%,"9,181,223","718,539","231,970","3,166,825,101",53.05%
2023.08.29,"66,800",0,0.00%,"9,114,352","-317,482","-659,400","3,166,313,307",53.04%
2023.08.28,"66,800",-300,-0.45%,"5,824,628","-65,786","-1,179,314","3,167,002,725",53.05%
2023.08.25,"67,100",-1100,-1.61%,"7,032,462","-893,424","-267,034","3,168,891,939",53.08%
2023.08.24,"68,200",1100,1.64%,"15,044,463","1,393,677","659,903","3,168,748,973",53.08%
2023.08.23,"67,100",500,0.75%,"9,549,352","-8,454","621,259","3,167,961,170",53.07%
2023.08.22,"66,600",0,0.00%,"10,500,242","-66,993","-105,852","3,167,284,911",53.06%
2023.08.21,"66,600",300,0.45%,"9,720,067","-223,911","149,211","3,167,660,963",53.06%
2023.08.18,"66,300",-400,-0.60%,"11,745,006","-932,690","162,741","3,167,530,091",53.06%
2023.08.17,"66,700",-300,-0.45%,"10,778,652","-302,148","-445,932","3,167,166,350",53.05%
2023.08.16,"67,000",-300,-0.45%,"13,174,578","-1,437,535","483,648","3,167,759,282",53.06%
2023.08.14,"67,300",-200,-0.30%,"9,352,343","-1,596,050","272,998","3,167,324,608",53.06%
2023.08.11,"67,500",-500,-0.74%,"9,781,038","-759,366","-1,760,032","3,166,844,310",53.05%
2023.08.10,"68,000",-900,-1.31%,"10,227,311","-784,461","-1,166,881","3,168,627,960",53.08%
2023.08.09,"68,900",1300,1.92%,"17,259,673","-1,617,395","3,547,279","3,169,557,395",53.09%
2023.08.08,"67,600",-900,-1.31%,"14,664,709","-2,333,365","-276,996","3,166,103,260",53.04%
2023.08.07,"68,500",200,0.29%,"10,968,505","-1,156,048","1,423,461","3,165,245,218",53.02%
2023.08.04,"68,300",-500,-0.73%,"12,360,193","-1,411,312","-1,457,516","3,163,669,032",52.99%
2023.08.03,"68,800",-1100,-1.57%,"20,087,090","-2,857,157","-914,967","3,165,132,856",53.02%
2023.08.02,"69,900",-1200,-1.69%,"13,835,020","-2,056,269","248,340","3,165,837,444",53.03%
2023.08.01,"71,100",1300,1.86%,"12,299,254","1,180,513","1,783,213","3,166,037,159",53.03%
2023.07.31,"69,800",-800,-1.13%,"13,035,420","-1,483,914","-593,194","3,164,361,498",53.01%
2023.07.28,"70,600",-1100,-1.53%,"19,420,683","-1,532,723","-456,584","3,165,226,457",53.02%
2023.07.27,"71,700",1900,2.72%,"24,261,179","3,113,953","1,088,588","3,165,427,951",53.02%
2023.07.26,"69,800",-200,-0.29%,"30,016,221","1,084,844","-1,222,084","3,163,909,245",53.00%
2023.07.25,"70,000",-400,-0.57%,"14,314,945","-963,317","904,656","3,165,243,552",53.02%
2023.07.24,"70,400",100,0.14%,"13,418,597","-563,794","2,998,428","3,164,288,196",53.01%
2023.07.21,"70,300",-700,-0.99%,"16,528,926","311,816","-4,055,528","3,161,284,337",52.95%
